"Index","Library Ref","Library Path","Footprint Ref","Footprint Path","Description","Manufacturer 1","Manufacturer Part Number 1","Location","LCSC","Digikey","Mouser","TME","JAMECO","GenericName","Package","ICtype"
"920518fd-f666-4e64-8520-ae6efc26cc2c","","","","","IC,LOGIC,74ABT240,TSSOP20","FAIRCHILD","74ABT240","R156","","","","","","74ABT240","TSSOP20","LOGIC"
"81c4a760-5eb0-4b41-8ae0-93cecaa98449","","","","","IC,LOGIC,QUAD,AND,74LCX08,TSSOP14","TI","74LCX08","R160","","","","","","74LCX08","TSSOP14","LOGIC,QUAD,AND"
"28ec7e89-2114-410e-8505-d7dd55343c34","","","","","IC,LMC555,SO8","NATSEMI","LMC555","R157","","","","","","LMC555","SO8",""
"f9ca42a5-38cf-49f6-ace3-4008ca1660ec","","","","","IC,LOGIC,74LCX32,TSSOP14","TI","74LCX32","R154","","","","","","74LCX32","TSSOP14","LOGIC"
"b9f80ef6-7ec0-43d8-9856-2c6802d8161c","","","","","IC,LOGIC,74LCX02,TSSOP14","TI","74LCX02","R159","","","","","","74LCX02","TSSOP14","LOGIC"
"bdfb72bf-d5e7-412c-aec3-faeba0983140","","","","","IC,LMC6482IM,SO8","NATSEMI","LMC6482IM","R158","","","","","","LMC6482IM","SO8",""
"db50b864-9421-45b8-adb6-6133c2bb82e9","","","","","IC,LOGIC,74HC74,TSSOP14","ST","74HC74","R152","","","","","","74HC74","TSSOP14","LOGIC"
"f98b9d17-a609-4105-b857-011829aebf62","","","","","IC,LOGIC,QUAD,NAND,SCHMITTTRIGGER,74HC132,TSSOP14","FAIRCHILD","74HC132","R148","","","","","","74HC132","TSSOP14","LOGIC,QUAD,NAND,SCHMITTTRIGGER"
"7d73004a-7e43-40c5-b39c-7dabc76858ef","","","","","IC,OPAMP,SINGLE,AD811JRZ,SO8","ANALOG DEVICES","AD811JRZ","R135","","","","","","AD811JRZ","SO8","OPAMP,SINGLE"
"aea4dbf6-5382-421d-bb39-72ac383c5851","","","","","IC,SN65HVD230DR,SO8","TI","SN65HVD230DR","R131","","","","","","SN65HVD230DR","SO8",""
"ee99fe67-a270-4354-b64a-8b1afe658d2b","","","","","IC,ANALOGSWITCH,DG409,SO16","SILICONIX","DG409","R181, R183, R185","","","","","","DG409","SO16","ANALOGSWITCH"
"9c03b930-8441-46d4-a25f-84b27174fcd5","","","","","IC,OPAMP,SINGLE,AD8016ARP","ANALOG DEVICES","AD8016ARP","R180, R182","","","","","","AD8016ARP","","OPAMP,SINGLE"
"625f1f74-30f2-4cbe-b7f9-d26aedf37a13","","","","","IC,OPAMP,SINGLE,AD8016ARB","ANALOG DEVICES","AD8016ARB","R184, R238, R242, R246, R237","","","","","","AD8016ARB","","OPAMP,SINGLE"
"bb44e9a9-ca91-4664-b053-a44dddbb6df9","","","","","IC,LT1442,SO8","LINEAR TECHNOLOGIES","LT1442","R186, R187","","","","","","LT1442","SO8",""
