"Index","Library Ref","Library Path","Footprint Ref","Footprint Path","Description","Manufacturer 1","Manufacturer Part Number 1","Location","LCSC","Digikey","Mouser","TME","JAMECO","GenericName","Package","ICtype","Mounting"
"9f786e41-45d0-4dde-90ab-4c9c726a5c87","","","","","IC,LOGIC,HEX SCHMITTRIGGER NOT,SN74HC14,DIP14","TI","SN74HC14","A0309","","","","","","SN74HC14","DIP14","LOGIC,HEX SCHMITTRIGGER NOT",""
"8b95a938-54fa-4ec7-bb62-ef5976e81c72","","","","","IC,LT1004CZ-1.2,TO92","LINEAR","LT1004CZ-1.2","A0298","","","","","","LT1004CZ-1.2","TO92","",""
"8782b697-f0cf-4b72-ae3e-cde2ac477609","","","","","IC,MT5C1008,SOJ","MICRON","MT5C1008","A0271","","","","","","MT5C1008","SOJ","",""
"8d8e84fe-85d6-476c-a370-5312a19d5bb5","","","","","IC,LOGIC,QUAD NOR2,SN74HC02,DIP14","TI","SN74HC02","A0289","","","","","","SN74HC02","DIP14","LOGIC,QUAD NOR2",""
"b722994d-1a59-42b1-9eff-6b679b90f7d0","","","","","IC,SN74LS20,DIP14","TI","SN74LS20","A0307","","","","","","SN74LS20","DIP14","",""
"fde67ea4-00c6-4dfb-8e22-49c980ad2703","","","","","IC,LOGIC,QUAD OR2,SN74HC32,DIP14","TI","SN74HC32","A0308","","","","","","SN74HC32","DIP14","LOGIC,QUAD OR2",""
"e5819fda-0aa8-4486-9503-33a86283c509","","","","","IC,LOGIC,DUAL DECODER 2-4,SN74HC139,DIP16","TOSHIBA","SN74HC139","A0315","","","","","","SN74HC139","DIP16","LOGIC,DUAL DECODER 2-4",""
"98ba1723-7643-4342-b69f-7a9cc5ec8cc7","","","","","IC,LOGIC,DECODER 3-8,SN74HC138,DIP16","TI","SN74HC138","A0305","","","","","","SN74HC138","DIP16","LOGIC,DECODER 3-8",""
"8b0cc425-4a56-40a3-bfa9-6c94f3116a35","","","","","IC,LOGIC,ANALOG MUX 1:4,DUAL,CD4052,DIP16","TI","CD4052","A0311","","","","","","CD4052","DIP16","LOGIC,ANALOG MUX 1:4,DUAL",""
"73a62207-b737-4db1-8a1d-6087c1cfa22f","","","","","IC,M74HC573,DIP20","ST","M74HC573","A0310","","","","","","M74HC573","DIP20","",""
"a28ce9a4-fb16-453e-adf4-de828bd7c7c3","","","","","IC,OPAMP,DUAL,LM358,SO8","","LM358","A0264, R582","","","","","","LM358","SO8","OPAMP,DUAL",""
"2e2166a1-2215-484f-878c-73479ca1cc78","","","","","IC,MAX1771EPA,DIP8","","MAX1771EPA","A0260","","","","","","MAX1771EPA","DIP8","",""
"1daa2eae-6514-44f7-9543-b21ae48376ef","","","","","IC,KM48C2100,SOJ","SAMSUNG","KM48C2100","A0262","","","","","","KM48C2100","SOJ","",""
