"Index","Library Ref","Library Path","Footprint Ref","Footprint Path","Description","Manufacturer 1","Manufacturer Part Number 1","Location","LCSC","Digikey","Mouser","TME","JAMECO","Manufacturer","Manufacturer PartNo","Package","AEC-Q","Value","Tempco","Voltage","CapType","Supplier","Supplier PartNo","Dielectric"
"6cb35e2d-8f42-4828-aacd-c949eddae609","","","","","CAP","","","R779","","","","","","","CL10A225KO8NNNC","","","","","","","","",""
"1eafd904-5eb1-404f-afff-c4a65670a57e","","","","","CAP","","","R797","","","","","","","CL10A105KO8NNNC","","","","","","","","",""
"d5dc1fc7-2f7b-4a6a-b797-74a92c352770","","","","","CAP","","","R796","","","","","","","GRM033C80J104ME15D","","","","","","","","",""
"352d6cfc-aed6-4617-8e9f-0cf4503d3c4b","","","","","CAP","","","R793","","","","","","","CL31B226MPHNNNE","","","","","","","","",""
"b8a8e91b-4dc7-4cd9-b5d1-b2b0e8aa97fa","","","","","CAP,AE,220uF,63V","NICHICON","","A0408","","","","","","NICHICON","KME","","","220uF","","63V","AE","","",""
"0e475c66-3f40-4434-ae74-bd7562f05757","","","","","CAP,FILM,100nF,250V,2420","PANASONIC","","A0715","","","","","","PANASONIC","ECWU2104V17","2420","","100nF","","250V","FILM","","",""
"d8acc029-69f4-45eb-8ecd-d54077ae0388","","","","","CAP,AE,2200uF,25V","PANASONIC","","A0720","","","","","","PANASONIC","CE SERIES","","","2200uF","","25V","AE","","",""
"af4e504f-5d59-4ec1-b63c-6289bd2c9358","","","","","CAP,FILM,27nF,630V","PANASONIC","","A0721","","","","","","PANASONIC","","","","27nF","","630V","FILM","","",""
"10fffe9e-e1fe-4712-ab7c-ffd6736296d4","","","","","CAP,FILM,150nF,63V","PANASONIC","","A0725","","P4665-ND","","","","PANASONIC","ECQ-V1H154JL","","","150nF","","63V","FILM","","P4665-ND",""
"dedd4297-8a21-4e98-bf56-49a21fdd427c","","","","","CAP,AE,220uF,63V","NICHICON","","A0729","","","","","","NICHICON","KME SERIES","","","220uF","","63V","AE","","",""
"c6ab577c-440e-4d60-8b51-c67e0f03d6a6","","","","","CAP,FILM,4N7,63V","WIMA","","A0789","","","","","","WIMA","FKP0","","","4N7","","63V","FILM","","",""
"ad93e6a0-1388-43aa-b491-d0d5bcf00635","","","","","CAP,FILM AXIAL,1uF,250V","SAMR","","A0802","","","","","","SAMR","","","","1uF","","250V","FILM AXIAL","","",""
