"Index","Library Ref","Library Path","Footprint Ref","Footprint Path","Description","Manufacturer 1","Manufacturer Part Number 1","Location","LCSC","Digikey","Mouser","TME","JAMECO","Package","Resistance","Tempco","Voltage","RESType","Tolerance","Wattage"
"531ddb21-6b0c-4685-9a96-715ffe3754fd","","","","","","KOA","RK73B1JLTD101","R424","","","","","","","100R","","","","",""
"7f23b824-fdbc-4d2d-9cbd-d79ad4e869ba","","","","","","KOA","RK73B2ALTD101J","R425","","","","","","","100R","","","","",""
"7ec16e76-951f-4ad0-8999-9c9c8b5e71fd","","","","","","TD-OHM","CY16-2-222JM","R428","","","","","","","2K2","","","","",""
"b7171f2f-c933-4249-940e-bcec4e05c3f5","","","","","","","NRJ06J361TRF","R417","","","","","","","360R","","","","5%",""
"aa3c96f5-d332-4048-8852-55a9bb310e23","","","","","","KOA","RK73H2ATTD1210F","R421","","","","","","","121R","","","","",""
"dc960bb5-bbde-438c-a851-a43c24f25986","","","","","ARRAY 4 X 10K","PANASONIC","","R404, R393","","","","","","1206","10K ARRAY","","","","",""
"0de682ee-de42-458e-aa90-9d7c32e6caea","","","","","ARRAY 4 X 4K7","PANASONIC","","R397","","","","","","1206","4K7 ARRAY","","","","",""
"b8dd5249-6388-41d8-9795-d80a3e82bb9f","","","","","ARRAY 4 X 47R","PANASONIC","","R385","","","","","","1206","47R ARRAY","","","","",""
"6775115b-aeb4-4b86-a7b5-3c9feea6f72e","","","","","","","","R390","","","","","","0805","47R","","","","",""
"fcd9a4c5-9aaa-4f81-b756-f49aabf84d12","","","","","","","","R389","","","","","","0805","3K3","","","","",""
"cea9b02f-aa1c-4545-9dc0-c17fb1bb533e","","","","","","","","R400","","","","","","0805","1K4","","","","",""
"5785afbe-4523-4431-aa76-9190da9ade06","","","","","","","","R388","","","","","","0805","10K","","","","",""
"cec01c8b-0aaf-40be-85d6-26c73635e8a4","","","","","","","","","","","","","","","10R","","","","",""
"25139160-976d-491e-9749-e2618ddc88ae","","","","","","","","","","","","","","","11R","","","","",""
"81ecefba-7b55-4ccc-b2c7-0a16d0902b7a","","","","","","","","","","","","","","","12R","","","","",""
"a2b2458f-9b84-43f6-8935-dadc6b4f2466","","","","","","","","","","","","","","","13R","","","","",""
"f8fd46fc-3351-422e-8912-1e39e710dd74","","","","","","","","","","","","","","","15R","","","","",""
"df7f5ae0-018e-439e-b3bf-66eda549c498","","","","","","","","","","","","","","","16R","","","","",""
"51cbbdc6-f125-4347-99fb-529b9a255da6","","","","","","","","","","","","","","","18R","","","","",""
"19cbb48f-92c7-4fcd-808f-2dd1080e9794","","","","","","","","","","","","","","","20R","","","","",""
"d1c1065c-6d38-41c3-8765-f300ea5dc1df","","","","","","","","A1469","","","","","","TH","22R","","","FILM","1%","2W"
"e01fc0bb-de4a-4027-b2a2-9611d929d01f","","","","","","","","","","","","","","","24R","","","","",""
"89a214f0-e766-4e92-a4b6-9ff200cabddd","","","","","","","","","","","","","","","27R","","","","",""
"d7413ef9-6f68-4784-9fb8-7a7804dcca61","","","","","","","","","","","","","","","30R","","","","",""
"d65e3caf-218f-4c57-b542-ce809b77c049","","","","","","","","","","","","","","","33R","","","","",""
"c1da080f-68bf-41c1-b58b-84b8a01380bd","","","","","","","","","","","","","","","36R","","","","",""
"9705f03f-c30c-4f5a-8f6f-7dfee9d132b5","","","","","","","","","","","","","","","39R","","","","",""
"12ea772b-951d-43d6-996b-f9bb29823543","","","","","","","","","","","","","","","43R","","","","",""
"0e54ced7-5324-41c5-afd1-7445cd70535f","","","","","","","","","","","","","","","47R","","","","",""
"09775b1c-f9b2-40ae-82d9-edc167d9d424","","","","","","","","A1472","","","","","","TH","51R","","","FILM","1%","2W"
"1fa3af8e-088e-428e-899f-7be4080fc5c8","","","","","","","","","","","","","","","56R","","","","",""
"44b8f96c-f7ee-4c81-9ac0-0d8579d39515","","","","","","","","","","","","","","","62R","","","","",""
"8173f3e0-ac5a-4a9b-be80-8cf599aa088a","","","","","","","","","","","","","","","68R","","","","",""
"9e37984b-7081-43ee-a48f-cc0b07f6264a","","","","","","","","","","","","","","","75R","","","","",""
"9dba9ac2-1500-4152-8f98-2ac4aa3ba9e1","","","","","","","","","","","","","","","82R","","","","",""
"b7deb542-d194-4ab5-bacf-9fccf1c4f466","","","","","","","","","","","","","","","91R","","","","",""
"ce178b0a-ef2d-4b90-9ab5-9658a47f5a19","","","","","","","","","","","","","","","100R","","","","","2W"
"168b2d50-1cf9-49c6-9902-8fff92d97db5","","","","","","","","","","","","","","","110R","","","","",""
"7e511bcf-e7f0-4baf-b26f-4bd277a47195","","","","","","","","","","","","","","","120R","","","","",""
"0c35f916-335b-4079-8c3c-4b56ff5767a9","","","","","","","","","","","","","","","130R","","","","",""
"36d5e069-32d2-4d60-b56a-5dc272f533c0","","","","","","","","","","","","","","","150R","","","","",""
"79b2bb95-438b-42d4-912a-02acd219186a","","","","","","","","","","","","","","","160R","","","","",""
"78e1331c-c718-478f-a4b7-0851f76bc240","","","","","","","","","","","","","","","180R","","","","",""
"9a02a249-668a-4134-8851-351403d3e719","","","","","","","","","","","","","","","200R","","","","",""
"fade5080-b153-472f-8c35-9db39d68dba8","","","","","","","","","","","","","","","220R","","","","",""
"2e73259e-1582-4033-9f9f-9c1c0a774bbd","","","","","","","","","","","","","","","240R","","","","",""
"592d1094-d7c2-475d-85e0-690d97ca547f","","","","","","","","","","","","","","","270R","","","","",""
"df2d63e1-4458-4de9-a63d-711c0489c258","","","","","","","","","","","","","","","300R","","","","",""
"cef44fdb-d6b2-4876-a2c0-077dbf1e37cd","","","","","","","","","","","","","","","330R","","","","",""
"8bf22821-93f3-4d08-aa94-8bd8b28c5907","","","","","","","","","","","","","","","360R","","","","",""
"9ead9ce9-f0fb-4c35-8b83-3f1e7f743d02","","","","","","","","","","","","","","","390R","","","","",""
"1eead209-c08a-42c4-97b7-6f12a12ba936","","","","","","","","","","","","","","","430R","","","","",""
"c0379f6a-2e11-4cbc-9fab-37c0c068cc15","","","","","","","","","","","","","","","470R","","","","",""
"5c1ae4a4-a75a-452e-95fa-4e77354bcd3c","","","","","","","","","","","","","","","510R","","","","",""
"6da8a1ca-969a-486f-b6cf-0483bcc4295e","","","","","","","","","","","","","","","560R","","","","",""
"fd0a0f4d-5090-48b5-b0f2-38e5fbd0f320","","","","","","","","","","","","","","","620R","","","","",""
"373bf2b6-ac02-4a03-b4e7-ca15501c10dc","","","","","","","","","","","","","","","680R","","","","",""
"e362e43a-9390-4e2d-b7fe-c3f4a663bafc","","","","","","","","","","","","","","","750R","","","","",""
"59050dbd-1429-48a7-a354-bceee38e9eb9","","","","","","","","","","","","","","","820R","","","","",""
"990dc08b-3a75-492c-abd0-86ce3072344e","","","","","","","","","","","","","","","910R","","","","",""
"21a97468-baab-4e1b-86a7-06a042ece4a8","","","","","","","","A1467","","","","","","TH","1K","","","FILM","1%","2W"
"4dbca57e-0d73-4f01-abdf-416a4242f01c","","","","","","","","","","","","","","","1K1","","","","",""
"4642a0be-d84d-48d4-9e33-172bcc5f36a5","","","","","","","","","","","","","","","1K2","","","","",""
"90023b62-b91f-4bfe-8b71-2f1212f62dac","","","","","","","","","","","","","","","1K3","","","","",""
"cf354863-a707-41b9-8016-35649cf77d8c","","","","","","","","","","","","","","","1K5","","","","",""
"88117b3e-73a5-4a75-b67f-2e0228967fc3","","","","","","","","","","","","","","","1K6","","","","",""
"f52d528b-1582-4bc0-b9a8-62849786da19","","","","","","","","","","","","","","","1K8","","","","",""
"b832e234-4f60-4da8-81e3-0d86b7eff05c","","","","","","","","","","","","","","","2K","","","","",""
"1862e0af-7e7d-4212-954e-1ce73b7bff6d","","","","","","","","","","","","","","","2K2","","","","",""
"c371cc34-e852-450b-9bf1-a757bdd467f5","","","","","","","","","","","","","","","2K4","","","","",""
"2fbd61c5-6cc9-4251-aa74-7505b5ad1c81","","","","","","","","","","","","","","","2K7","","","","",""
"8c1ffeaa-f603-4ad4-beae-c437c8377d91","","","","","","","","","","","","","","","3K","","","","",""
"2cddca7a-668d-490e-9d1f-73816b8bf173","","","","","","","","","","","","","","","3K3","","","","",""
"c96f67d5-9bca-4451-b0e6-2ee4a0568108","","","","","","","","","","","","","","","3K6","","","","",""
"4a83654f-00f2-4909-b032-8d2ccb78b7e4","","","","","","","","","","","","","","","3K9","","","","",""
"8aca5b8c-bf38-4f8c-9182-a59199a59f4e","","","","","","","","","","","","","","","4K3","","","","",""
"3458cae6-9646-4476-87dd-aa5e8314310b","","","","","","","","","","","","","","","4K7","","","","",""
"64c4ef33-da46-4745-a127-e2409dd0f2bb","","","","","","","","","","","","","","","5K1","","","","",""
