"Index","Library Ref","Library Path","Footprint Ref","Footprint Path","Description","Manufacturer 1","Manufacturer Part Number 1","Location","LCSC","Digikey","Mouser","TME","JAMECO","Package","Supplier","Supplier PartNo","Vceo","Ic","GenericName","BJTtype","Mounting"
"1da655ef-2f70-45ea-ac82-71efb004a498","","","","","TRANSISTOR,ZENER,1V8,0.25W,CMSZ1L8,SOD323,SMD","CENTRAL","CMSZ1L8","R625","","","","","","SOD323","","","1V8","0.25W","CMSZ1L8","ZENER","SMD"
"87388b11-6162-4899-8b72-e3545cc88826","","","","","TRANSISTOR,NPN,40V,0.2A,MMBT3904,SOT23,SMD","ONSEMI","MMBT3904","R713","","","","","","SOT23","","","40V","0.2A","MMBT3904","NPN","SMD"
"414a78c2-822b-4fdf-9020-e8dd9c742b52","","","","","TRANSISTOR,DUAL,PNP,40V,0.1A,PUMT1,SOT363,SMD","NXP","PUMT1","R716","","","","","","SOT363","","","40V","0.1A","PUMT1","DUAL,PNP","SMD"
"64f0dd8f-6b96-4044-b43e-27154e60db9d","","","","","TRANSISTOR,PNP,45V,0.8A,BC337,TO92,TH","NXP","BC337","A0436","","","","","","TO92","","","45V","0.8A","BC337","PNP","TH"
"60e455de-328c-47ad-8f7e-6bc900e02443","","","","","TRANSISTOR,2N3904,TO92,TH","DIOTEC","2N3904","A0444,  A0510","","","","","","TO92","","","","","2N3904","","TH"
"43b53a8d-3775-4b2c-bbb7-5132db146966","","","","","TRANSISTOR,2N3906,TO92,TH","DIOTEC","2N3906","A0480","","","","","","TO92","","","","","2N3906","","TH"
"3658dcbf-1c60-4736-9f55-23c371690504","","","","","TRANSISTOR,PNP,45V,0.8A,BC327,TO92,TH","FAIRCHILD","BC327","A0453","","","","","","TO92","","","45V","0.8A","BC327","PNP","TH"
"81a9fd63-98a2-426f-9ea9-eb33cdf52be1","","","","","TRANSISTOR,NPN,60V,0.6A,MMBT2222ALT1,SOT23,SMD","JIANGSU CHANGJIANG","MMBT2222ALT1","R737, R738, R739, R740","","","","","","SOT23","","","60V","0.6A","MMBT2222ALT1","NPN","SMD"
"0198a810-8123-4af5-a115-3071e29e1eb1","","","","","TRANSISTOR,NPN,OCP 70,GLASS","MULLARD","OCP 70","A0513","","","","","","GLASS","","","","","OCP 70","NPN",""
"4b9a176a-8772-4727-9930-c1e15fbbdcab","","","","","TRANSISTOR,TIP125","TI","TIP125","A0447","","","","","","","","","","","TIP125","",""
"705346f2-a4b9-4eed-87be-0204edcc1ec4","","","","","TRANSISTOR,TIP120","SEC","TIP120","A0428","","","","","","","","","","","TIP120","",""
"b749f6c1-05f7-4ae1-b7bf-7f7c7c8f6462","","","","","TRANSISTOR,TIP50","TEXET","TIP50","A0511","","","","","","","","","","","TIP50","",""
"b0fb3747-913b-4e14-afe6-19cb43a1b9c6","","","","","TRANSISTOR,TIP105","MOTOROLA","TIP105","A0466","","","","","","","","","","","TIP105","",""
"1dd8c7d1-08dc-4f2a-8c87-bd74004d4342","","","","","TRANSISTOR,PNP,60V,0.8A,PN2907,TO92,TH","ONSEMI","PN2907","A1398","","","","","","TO92","","","60V","0.8A","PN2907","PNP","TH"
"cc417bc7-47a1-4fce-84eb-837b60db8783","","","","","TRANSISTOR,TIP142","ST","TIP142","A0432","","","","","","","","","","","TIP142","",""
"f3089d1e-88fb-4f29-b0f1-37090e3940f2","","","","","TRANSISTOR,2N2219","MOTOROLA","2N2219","A0475","","","","","","","","","","","2N2219","",""
"4a830402-f1a7-415a-a99f-0ba8c82251c3","","","","","TRANSISTOR,NPN,40V,0.2A,MMBT3904,SOT23,SMD","BORN","MMBT3904","A0413","","","","","","SOT23","","","40V","0.2A","MMBT3904","NPN","SMD"
"fc6c8afc-242c-42c9-bb24-f440028f2b83","","","","","TRANSISTOR,MPSA05,TO92,TH","FAIRCHILD","MPSA05","A0416","","","","","","TO92","","","","","MPSA05","","TH"
"0dd40602-3714-4544-a33c-41be4595e8c6","","","","","TRANSISTOR,2SK170,TO92,TH","TOSHIBA","2SK170","A0570","","","","","","TO92","","","","","2SK170","","TH"
"90725ca0-774f-4bc9-93d8-d15d41738b79","","","","","TRANSISTOR,2N2907,TO92,TH","NATIONAL","2N2907","A0565","","","","","","TO92","","","","","2N2907","","TH"
"b0f4bc5e-c2b5-4c2c-91e7-8fab12293dc8","","","","","TRANSISTOR,2N4028,TO92,TH","","2N4028","A0561","","","","","","TO92","","","","","2N4028","","TH"
"ed101213-e262-446b-a4ff-f6f03749d7a1","","","","","TRANSISTOR,2N3711,TO92,TH","","2N3711","A0553","","","","","","TO92","","","","","2N3711","","TH"
"8ed70dba-9fe2-4e6d-8b0c-57722cc543cc","","","","","TRANSISTOR,JFET N-CHAN,25V,0.01A,J110,TO92,TH","","J110","A0558","","","","","","TO92","","","25V","0.01A","J110","JFET N-CHAN","TH"
"4f9669f3-7c70-4535-858d-47982d89a481","","","","","TRANSISTOR,JFET N-CHAN,35V,0.005A,J112,TO92,TH","","J112","A0559","","","","","","TO92","","","35V","0.005A","J112","JFET N-CHAN","TH"
"7c4a666c-8902-43cb-aaf5-0ad08977e77b","","","","","TRANSISTOR,PN4117,TO92,TH","","PN4117","A0562","","","","","","TO92","","","","","PN4117","","TH"
"aa5eec7e-acf5-4d76-ad3c-252b5c31fb27","","","","","TRANSISTOR,2N3906,TO92,TH","MOTOROLA","2N3906","A0566","","","","","","TO92","","","","","2N3906","","TH"
"59c2dd8d-2ebb-482e-b834-335493614359","","","","","TRANSISTOR,DN2540,TO92,TH","SILICONIX","DN2540","A0560","","","","","","TO92","","","","","DN2540","","TH"
"01deef63-d298-4ca6-ae5b-dd992ba9358e","","","","","TRANSISTOR,DN2535,TO92,TH","SUPERTEX","DN2535","A0564","","","","","","TO92","","","","","DN2535","","TH"
"2f8b7574-045d-495f-bbc5-ead851e67d33","","","","","TRANSISTOR,2N4058,TO92,TH","TI","2N4058","A0563","","","","","","TO92","","","","","2N4058","","TH"
"0f9db9d1-e935-4aae-b38b-66ea22b09b7b","","","","","TRANSISTOR,LND150,TO92,TH","SUPERTEX","LND150","A0556","","","","","","TO92","","","","","LND150","","TH"
"5c778fe1-ead6-468e-8183-e9d39930bf8f","","","","","TRANSISTOR,2N6059,TO3,TH","ECS","2N6059","A0753","","","","","","TO3","","","","","2N6059","","TH"
"e28ea524-89dd-4313-9887-5cc441fc907c","","","","","TRANSISTOR,MJ1000,TO3,TH","BSC","MJ1000","A0784","","","","","","TO3","BOCA SEMICONDUCTOR","","","","MJ1000","","TH"
"e6642dc0-8501-489d-803d-930fdffcbfbd","","","","","TRANSISTOR,IR1000,TO3,TH","BSC","IR1000","A0784","","","","","","TO3","","","","","IR1000","","TH"
"d37a2723-9796-4e52-bb71-0d0f995145dd","","","","","TRANSISTOR,MJ15004,TO3,TH","MOTOROLA","MJ15004","A0785","","","","","","TO3","","","","","MJ15004","","TH"
"8b2de1eb-ba13-4926-9e8e-1948a64cfbfd","","","","","TRANSISTOR,1854-0989,TO3,TH","HP","1854-0989","A0785","","","","","","TO3","","","","","1854-0989","","TH"
"094fc435-404c-4baf-985a-839a86feda1d","","","","","TRANSISTOR,STN826,SOT223,SMD","ST","STN826","A0791","","","","","","SOT223","","","","","STN826","","SMD"
"1fe873c6-797e-4859-a073-1b33951f57ed","","","","","TRANSISTOR,MJ1001,TO3,TH","ST","MJ1001","A0801","","","","","","TO3","","","","","MJ1001","","TH"
"fb66fdb5-e550-47a7-8e28-0a77fd4993e3","","","","","TRANSISTOR,NPN,30V,0.1A,BC848-B,SOT23,SMD","NXP","BC848B","A990","","","","","","SOT23","","","30V","0.1A","BC848-B","NPN","SMD"
"1d2b4774-a4b6-43de-86bc-82c3796b7ce8","","","","","TRANSISTOR,80V,1.5A,BD140,TO126,TH","PHILIPS","BD140","A1464","","","","","","TO126","","","80V","1.5A","BD140","","TH"
"c9022ff1-3fd6-4efa-b7d2-4aefb87d4c25","","","","","TRANSISTOR,BU323,TO3,TH","","BU323","A1465","","","","","","TO3","","","","","BU323","","TH"
"d089b0cf-cd26-4c34-9469-d201cd663ce3","","","","","TRANSISTOR,PNP,45V,0.1A,BC557,TO92,TH","PHILIPS","BC557","A1432","","","","","","TO92","","","45V","0.1A","BC557","PNP","TH"
"a3246cba-80f0-45c5-9bf5-4d0a603c0bc0","","","","","TRANSISTOR,NPN,45V,0.1A,BC547,TO92,TH","PHILIPS","BC547","A1447","","","","","","TO92","","","45V","0.1A","BC547","NPN","TH"
"da02bb33-300b-406a-8916-d0f468fad19e","","","","","TRANSISTOR,NPN DARLINGTON,30V,1A,BC517,TO92,TH","PHILIPS","BC517","A1448","","","","","","TO92","","","30V","1A","BC517","NPN DARLINGTON","TH"
"3223fbee-f7b0-4d7d-8b85-5338e1d79741","","","","","TRANSISTOR,80V,1.5A,BD139,TO126,HT","PHILIPS","BD139","A1449","","","","","","TO126","","","80V","1.5A","BD139","","HT"
"70aa0121-cdc1-4d21-be97-443b8321d8f3","","","","","TRANSISTOR,PNP,45V,0.1A,BC557,TO92,TH","PHILIPS","BC557","A1401","","","","","","TO92","","","45V","0.1A","BC557","PNP","TH"
"6c62d821-78e3-4f24-9a81-f752f983853e","","","","","TRANSISTOR,NPN,45V,0.1A,BC547,TO92,TH","PHILIPS","BC547","A1402","","","","","","TO92","","","45V","0.1A","BC547","NPN","TH"
"44b2fca0-ea1e-4260-a3c4-8e2147ce54d6","","","","","TRANSISTOR,BC264","PHILIPS","BC264","A1406","","","","","","","","","","","BC264","",""
