"Index","Library Ref","Library Path","Footprint Ref","Footprint Path","Description","Manufacturer 1","Manufacturer Part Number 1","Location","LCSC","Digikey","Mouser","TME","JAMECO","Package","Value","Voltage","CapType","Dielectric"
"c17dab45-d87e-4209-abf9-d7eef5c19a5c","CAPF",".\SCHLIB\PASSIVES.SCHLIB","CAPTHBOX508","","CAP,FILM,470nF,63V,BOX508","PHILIPS BELGIUM","MKT470 2222-470-78474","A0414, A0469","","","","","","BOX508","470nF","63V","FILM",""
"cbb753f8-745f-47f2-b0cb-03ecd55396cd","CAPF",".\SCHLIB\PASSIVES.SCHLIB","CAPTHBOX508","","CAP,FILM,220nF,63V,BOX508","THOMSON","BF024D0224KKR","A0481, A0479, A0443","","","","","","BOX508","220nF","63V","FILM",""
"1331b044-6df1-4a94-ba4c-8f39837f9efd","CAPF",".\SCHLIB\PASSIVES.SCHLIB","CAPTHBOX508","","CAP,FILM,470nF,100V,BOX508","THOMSON","BF054E0474K","A0430, A0440, A0442","","","","","","BOX508","470nF","100V","FILM",""
"5a613889-f4b6-4294-b209-318d78cf1194","CAPF",".\SCHLIB\PASSIVES.SCHLIB","","","CAP,FILM,1uF,630VDC,BOX L180 H185 P150","TDK","B32672P6105K000","A0484","","","","","","BOX L180 H185 P150","1uF","630VDC","FILM",""
"edb973cd-48c9-4372-b1f4-0ff2a437674c","CAPF",".\SCHLIB\PASSIVES.SCHLIB","CAPTHBOX508","","CAP,FILM,470nF,63V,BOX508","TDK","B32529C0474J289","A0500","","","","","","BOX508","470nF","63V","FILM",""
"628224bb-4fad-4bce-8ce6-409fa7602ee5","CAPF",".\SCHLIB\PASSIVES.SCHLIB","CAPTHBOX508","","CAP,FILM,1uF,63V,BOX508","EPCOS","","A0499","","","","","","BOX508","1uF","63V","FILM",""
"f62cf1b5-4f32-4038-8d32-1994a445548b","CAPF",".\SCHLIB\PASSIVES.SCHLIB","CAPTHBOX508","","CAP,FILM,470NF,63V,BOX508","EPCOS","B32529C0474J000","A0463","","","","","","BOX508","470NF","63V","FILM",""
"785281a7-cd0a-494b-8519-1e68a8f61e09","CAPAE",".\SCHLIB\PASSIVES.SCHLIB","","","CAP,AE,1000uF,35V,D125 H250 P50","NIC","NRSA","A0509, A0476","","","","","","D125 H250 P50","1000uF","35V","AE",""
"bcc901a8-bff5-45ae-bdd1-29a9a308660c","","","","","CAP,AE,0F22,3V3","ELNA","DSK-3R3H224U-HL","R756","","","","","","","0F22","3V3","AE",""
"479c8195-e986-484c-898d-15154e58fd0f","","","","","CAP,AE,47UF,16V","PANASONIC","EEE-1CA470SP","R758","","","","","","","47UF","16V","AE",""
"11cc13a4-2244-40ff-9af1-f45692d6eaa0","","","","","CAP,CER,22uF,10V","WALSIN","0805X226M100CT","R752","","","","","","","22uF","10V","CER","X5R"
"9d326f61-46fd-4e8c-ace9-a166bfe72604","","","","","CAP,CER,10uF,10V","","GRM188R61A106KE69D","R761","","","","","","","10uF","10V","CER","X5R"
"19234026-f28a-418d-a56c-c8663042892a","","","","","CAP","","GCM188R71H104KA57J","R777","","","","","","","","","",""
"43e3875b-056d-450b-9b5d-472135dfb9ec","","","","","CAP","","CL10A475KO8NNNC","R791","","","","","","","","","",""
"28764af7-f700-4fbf-be79-5fb2258fd565","","","","","CAP,CER,10UF,6V3","","GRM188R60J106ME84D","R787","","","","","","","10UF","6V3","CER","X5R"
"6cb35e2d-8f42-4828-aacd-c949eddae609","","","","","CAP","","CL10A225KO8NNNC","R779","","","","","","","","","",""
"1eafd904-5eb1-404f-afff-c4a65670a57e","","","","","CAP","","CL10A105KO8NNNC","R797","","","","","","","","","",""
"d5dc1fc7-2f7b-4a6a-b797-74a92c352770","","","","","CAP","","GRM033C80J104ME15D","R796","","","","","","","","","",""
"352d6cfc-aed6-4617-8e9f-0cf4503d3c4b","","","","","CAP","","CL31B226MPHNNNE","R793","","","","","","","","","",""
"b8a8e91b-4dc7-4cd9-b5d1-b2b0e8aa97fa","","","","","CAP,AE,220uF,63V","NICHICON","KME","A0408","","","","","","","220uF","63V","AE",""
"0e475c66-3f40-4434-ae74-bd7562f05757","","","","","CAP,FILM,100nF,250V,2420","PANASONIC","ECWU2104V17","A0715","","","","","","2420","100nF","250V","FILM",""
"d8acc029-69f4-45eb-8ecd-d54077ae0388","","","","","CAP,AE,2200uF,25V","PANASONIC","CE SERIES","A0720","","","","","","","2200uF","25V","AE",""
"af4e504f-5d59-4ec1-b63c-6289bd2c9358","","","","","CAP,FILM,27nF,630V","PANASONIC","","A0721","","","","","","","27nF","630V","FILM",""
"10fffe9e-e1fe-4712-ab7c-ffd6736296d4","","","","","CAP,FILM,150nF,63V","PANASONIC","ECQ-V1H154JL","A0725","","P4665-ND","","","","","150nF","63V","FILM",""
"dedd4297-8a21-4e98-bf56-49a21fdd427c","","","","","CAP,AE,220uF,63V","NICHICON","KME SERIES","A0729","","","","","","","220uF","63V","AE",""
"c6ab577c-440e-4d60-8b51-c67e0f03d6a6","","","","","CAP,FILM,4N7,63V","WIMA","FKP0","A0789","","","","","","","4N7","63V","FILM",""
"ad93e6a0-1388-43aa-b491-d0d5bcf00635","","","","","CAP,FILM AXIAL,1uF,250V","SAMR","","A0802","","","","","","","1uF","250V","FILM AXIAL",""
